,query name,query
50,Softnet Packets Dropped ,"irate(node_softnet_dropped_total{instance=""$node"",job=""$job""}[$__rate_interval])"
51,Softnet Out Of quota,"irate(node_softnet_times_squeezed_total{instance=""$node"",job=""$job""}[$__rate_interval])"
52,Node Network UP,"node_network_up{operstate=""up"",instance=""$node"",job=""$job""}"
53,TCP Allocated sockets,"node_sockstat_TCP_alloc{instance=""$node"",job=""$job""}"
54,TCP Sockets Currently Issue,"node_sockstat_TCP_inuse{instance=""$node"",job=""$job""}"
55,TCP Orphan Sockets,"node_sockstat_TCP_orphan{instance=""$node"",job=""$job""}"
56,TCP Sockets Waiting to Close,"node_sockstat_TCP_tw{instance=""$node"",job=""$job""}"
57,UDP lite sockets Currently in use,"node_sockstat_UDPLITE_inuse{instance=""$node"",job=""$job""}"
58,UDP sockets currently in use,"node_sockstat_UDP_inuse{instance=""$node"",job=""$job""}"
59,Used Mermory For UDP,"node_sockstat_UDP_mem{instance=""$node"",job=""$job""}"
60,TCP Sockets memory,"node_sockstat_TCP_mem_bytes{instance=""$node"",job=""$job""}"
61,UDP sockets memory,"node_sockstat_UDP_mem_bytes{instance=""$node"",job=""$job""}"
62,Used memory for frag,"node_sockstat_FRAG_memory{instance=""$node"",job=""$job""}"
63,Sockstat Used,"node_sockstat_sockets_used{instance=""$node"",job=""$job""}"
64,Netstat Received Octets,"irate(node_netstat_IpExt_InOctets{instance=""$node"",job=""$job""}[$__rate_interval])"
65,Netstat Sent Octets,"irate(node_netstat_IpExt_OutOctets{instance=""$node"",job=""$job""}[$__rate_interval])"
66,Netstat UDP datagrams Received,"irate(node_netstat_Udp_InDatagrams{instance=""$node"",job=""$job""}[$__rate_interval])"
67,NetStat UDP datagrams Sent,"irate(node_netstat_Udp_OutDatagrams{instance=""$node"",job=""$job""}[$__rate_interval])"
68,TCP segments recieved,"irate(node_netstat_Tcp_InSegs{instance=""$node"",job=""$job""}[$__rate_interval])"
69,TCP segments sent,"irate(node_netstat_Tcp_OutSegs{instance=""$node"",job=""$job""}[$__rate_interval])"
70,TCP netstat resets,"irate(node_netstat_Tcp_OutRsts{instance=""$node"",job=""$job""}[$__rate_interval])"
71,TCP  segments restransmited,"irate(node_netstat_Tcp_RetransSegs{instance=""$node"",job=""$job""}[$__rate_interval])"
72,TCP Connections,"node_netstat_Tcp_CurrEstab{instance=""$node"",job=""$job""}"
73,TCP direct Transition Active,"irate(node_netstat_Tcp_ActiveOpens{instance=""$node"",job=""$job""}[$__rate_interval])"
74,TCP direct Transition Passive,"irate(node_netstat_Tcp_PassiveOpens{instance=""$node"",job=""$job""}[$__rate_interval])"
75,Node Exporter Bunch of data,"node_scrape_collector_duration_seconds{instance=""$node"",job=""$job""}"
76,Node exporter scarpe success,"node_scrape_collector_success{instance=""$node"",job=""$job""}"
77,node exporter scarpe error,"node_textfile_scrape_error{instance=""$node"",job=""$job""}"
